Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Total Sales,Payment Method,Date,Time,Day of Week,VAT (5%),Gross Income,Customer Satisfaction Score
INV-0022,A,New York,Member,Female,Electronics,74.48,9,670.32,E-wallet,28/03/2024,10:05:00,Thursday,33.52,636.8,6
INV-0023,B,Los Angeles,Member,Female,Beverages,6.11,2,12.22,Credit Card,11/03/2024,14:09:00,Monday,0.61,11.61,2
INV-0024,A,New York,Normal,Male,Electronics,86.68,10,866.8,E-wallet,01/02/2024,21:27:00,Thursday,43.34,823.46,2
INV-0025,A,New York,Normal,Female,Beverages,43.92,1,43.92,E-wallet,26/03/2024,10:10:00,Tuesday,2.2,41.72,9
INV-0026,C,Chicago,Member,Male,Home Appliances,19.76,6,118.56,E-wallet,15/02/2024,09:23:00,Thursday,5.93,112.63,7
INV-0027,C,Chicago,Normal,Female,Beverages,53.52,3,160.56,Cash,15/02/2024,20:05:00,Thursday,8.03,152.53,2
INV-0028,C,Chicago,Normal,Female,Beverages,19.08,2,38.16,Credit Card,26/03/2024,10:27:00,Tuesday,1.91,36.25,9
INV-0029,B,Los Angeles,Member,Female,Snacks,17.25,2,34.5,Cash,18/01/2024,18:15:00,Thursday,1.73,32.77,2
INV-0030,B,Los Angeles,Normal,Male,Electronics,83.24,6,499.44,E-wallet,03/03/2024,09:14:00,Sunday,24.97,474.47,3
INV-0031,B,Los Angeles,Normal,Female,Clothing,87.1,3,261.3,Cash,07/02/2024,21:53:00,Wednesday,13.07,248.23,9
INV-0032,A,New York,Normal,Female,Beverages,72.07,10,720.7,E-wallet,28/03/2024,12:28:00,Thursday,36.04,684.66,2
INV-0033,B,Los Angeles,Normal,Male,Snacks,61.96,10,619.6,Credit Card,17/03/2024,08:05:00,Sunday,30.98,588.62,3
INV-0034,A,New York,Member,Male,Personal Care,60.25,8,482,E-wallet,16/01/2024,19:39:00,Tuesday,24.1,457.9,10
INV-0035,C,Chicago,Normal,Male,Snacks,44.7,5,223.5,Cash,28/03/2024,15:33:00,Thursday,11.18,212.32,1
INV-0036,A,New York,Normal,Male,Home Appliances,56.49,6,338.94,E-wallet,28/01/2024,10:49:00,Sunday,16.95,321.99,7
INV-0037,A,New York,Normal,Female,Snacks,45.04,7,315.28,E-wallet,10/01/2024,09:18:00,Wednesday,15.76,299.52,6
INV-0038,C,Chicago,Normal,Male,Clothing,48.63,1,48.63,E-wallet,04/02/2024,08:57:00,Sunday,2.43,46.2,10
INV-0039,B,Los Angeles,Normal,Male,Clothing,65.15,10,651.5,E-wallet,22/01/2024,16:38:00,Monday,32.58,618.92,1
INV-0040,C,Chicago,Member,Male,Home Appliances,26,3,78,Credit Card,31/01/2024,13:41:00,Wednesday,3.9,74.1,6
INV-0041,A,New York,Member,Male,Home Appliances,69.52,3,208.56,Cash,03/03/2024,12:51:00,Sunday,10.43,198.13,8
INV-0042,C,Chicago,Normal,Male,Personal Care,74.8,8,598.4,E-wallet,21/03/2024,17:33:00,Thursday,29.92,568.48,10
INV-0043,B,Los Angeles,Normal,Female,Electronics,44.39,7,310.73,E-wallet,23/03/2024,20:39:00,Saturday,15.54,295.19,6
INV-0044,B,Los Angeles,Normal,Female,Personal Care,46.82,3,140.46,E-wallet,16/01/2024,14:08:00,Tuesday,7.02,133.44,9
INV-0045,C,Chicago,Member,Female,Snacks,57.99,4,231.96,Cash,03/02/2024,11:52:00,Saturday,11.6,220.36,3
INV-0046,B,Los Angeles,Normal,Female,Beverages,33.72,3,101.16,Cash,28/03/2024,12:44:00,Thursday,5.06,96.1,5
INV-0047,B,Los Angeles,Normal,Male,Beverages,47.68,9,429.12,Cash,05/03/2024,13:16:00,Tuesday,21.46,407.66,8
INV-0048,C,Chicago,Normal,Female,Clothing,94.3,7,660.1,E-wallet,30/01/2024,13:10:00,Tuesday,33.01,627.09,1
INV-0049,A,New York,Member,Male,Personal Care,35.51,2,71.02,Credit Card,06/01/2024,08:56:00,Saturday,3.55,67.47,4
INV-0050,B,Los Angeles,Member,Male,Beverages,6.54,6,39.24,Cash,16/02/2024,12:20:00,Friday,1.96,37.28,4
INV-0051,B,Los Angeles,Member,Female,Electronics,90.8,7,635.6,Credit Card,28/02/2024,17:27:00,Wednesday,31.78,603.82,1
INV-0052,A,New York,Normal,Male,Electronics,37.15,6,222.9,Credit Card,23/02/2024,18:15:00,Friday,11.15,211.75,2
INV-0053,B,Los Angeles,Normal,Male,Clothing,88.14,1,88.14,Cash,10/01/2024,19:51:00,Wednesday,4.41,83.73,5
INV-0054,B,Los Angeles,Normal,Female,Electronics,18.14,2,36.28,E-wallet,28/03/2024,12:25:00,Thursday,1.81,34.47,3
INV-0055,B,Los Angeles,Member,Male,Electronics,86.75,6,520.5,E-wallet,16/02/2024,12:01:00,Friday,26.03,494.47,6
INV-0056,C,Chicago,Member,Female,Electronics,21.16,7,148.12,Cash,11/02/2024,15:00:00,Sunday,7.41,140.71,1
INV-0057,B,Los Angeles,Normal,Male,Clothing,59.41,7,415.87,Credit Card,05/03/2024,11:15:00,Tuesday,20.79,395.08,5
INV-0058,C,Chicago,Member,Male,Clothing,84.87,9,763.83,E-wallet,28/01/2024,13:07:00,Sunday,38.19,725.64,7
INV-0059,A,New York,Member,Female,Electronics,8.04,2,16.08,Credit Card,10/02/2024,14:36:00,Saturday,0.8,15.28,8
INV-0060,A,New York,Normal,Female,Clothing,27.31,4,109.24,Credit Card,28/01/2024,13:10:00,Sunday,5.46,103.78,8
INV-0061,C,Chicago,Normal,Male,Electronics,29.52,9,265.68,Credit Card,21/01/2024,16:28:00,Sunday,13.28,252.4,2
INV-0062,C,Chicago,Member,Male,Clothing,97.64,2,195.28,E-wallet,25/01/2024,12:08:00,Thursday,9.76,185.52,8
INV-0063,C,Chicago,Member,Male,Clothing,82.71,1,82.71,E-wallet,26/03/2024,09:28:00,Tuesday,4.14,78.57,10
INV-0064,B,Los Angeles,Normal,Female,Clothing,5.66,6,33.96,Credit Card,17/02/2024,21:25:00,Saturday,1.7,32.26,8
INV-0065,B,Los Angeles,Normal,Male,Home Appliances,69.09,8,552.72,Credit Card,04/01/2024,13:38:00,Thursday,27.64,525.08,6
INV-0066,B,Los Angeles,Member,Female,Electronics,36.37,8,290.96,Credit Card,16/03/2024,08:02:00,Saturday,14.55,276.41,6
INV-0067,C,Chicago,Member,Male,Electronics,41.9,10,419,Credit Card,24/02/2024,16:13:00,Saturday,20.95,398.05,1
INV-0068,C,Chicago,Normal,Female,Clothing,49.82,7,348.74,E-wallet,04/01/2024,12:13:00,Thursday,17.44,331.3,6
INV-0069,A,New York,Normal,Female,Clothing,64.05,7,448.35,Cash,11/03/2024,11:31:00,Monday,22.42,425.93,4
INV-0070,C,Chicago,Member,Male,Snacks,24.2,4,96.8,Credit Card,31/01/2024,12:05:00,Wednesday,4.84,91.96,6
INV-0071,B,Los Angeles,Normal,Male,Personal Care,45.85,4,183.4,E-wallet,17/01/2024,15:01:00,Wednesday,9.17,174.23,9
INV-0072,A,New York,Member,Male,Beverages,59.02,8,472.16,Credit Card,14/02/2024,18:22:00,Wednesday,23.61,448.55,10
INV-0073,C,Chicago,Normal,Female,Beverages,76.68,8,613.44,Credit Card,18/02/2024,13:31:00,Sunday,30.67,582.77,8
INV-0074,A,New York,Member,Female,Electronics,92.87,4,371.48,Credit Card,14/02/2024,08:46:00,Wednesday,18.57,352.91,2
INV-0075,A,New York,Normal,Female,Clothing,75,5,375,E-wallet,15/03/2024,16:12:00,Friday,18.75,356.25,6
INV-0076,C,Chicago,Member,Female,Personal Care,90.28,1,90.28,E-wallet,18/03/2024,11:07:00,Monday,4.51,85.77,5
INV-0077,A,New York,Member,Male,Clothing,14.66,1,14.66,Cash,26/02/2024,21:26:00,Monday,0.73,13.93,8
INV-0078,B,Los Angeles,Normal,Female,Snacks,94.6,8,756.8,E-wallet,02/03/2024,19:49:00,Saturday,37.84,718.96,6
INV-0079,A,New York,Normal,Male,Home Appliances,86.59,1,86.59,E-wallet,06/02/2024,16:48:00,Tuesday,4.33,82.26,1
INV-0080,B,Los Angeles,Normal,Female,Clothing,57.72,7,404.04,E-wallet,12/01/2024,10:04:00,Friday,20.2,383.84,5
INV-0081,A,New York,Normal,Female,Clothing,11.44,5,57.2,E-wallet,06/01/2024,19:33:00,Saturday,2.86,54.34,6
INV-0082,C,Chicago,Normal,Female,Personal Care,79.98,4,319.92,Cash,04/01/2024,20:16:00,Thursday,16,303.92,6
INV-0083,C,Chicago,Normal,Female,Snacks,72.05,2,144.1,Credit Card,29/03/2024,21:31:00,Friday,7.21,136.89,9
INV-0084,B,Los Angeles,Normal,Female,Electronics,39.4,7,275.8,E-wallet,21/02/2024,18:27:00,Wednesday,13.79,262.01,4
INV-0085,A,New York,Normal,Male,Personal Care,55.68,10,556.8,Cash,19/01/2024,21:36:00,Friday,27.84,528.96,7
INV-0086,A,New York,Member,Female,Home Appliances,35.15,6,210.9,Credit Card,11/02/2024,20:20:00,Sunday,10.55,200.35,5
INV-0087,B,Los Angeles,Member,Female,Snacks,6.61,8,52.88,E-wallet,21/01/2024,17:59:00,Sunday,2.64,50.24,5
INV-0088,B,Los Angeles,Normal,Female,Personal Care,85.7,8,685.6,Cash,16/01/2024,21:23:00,Tuesday,34.28,651.32,1
INV-0089,A,New York,Member,Male,Beverages,85.24,7,596.68,Cash,05/02/2024,19:32:00,Monday,29.83,566.85,10
INV-0090,C,Chicago,Normal,Female,Snacks,58.42,9,525.78,Cash,14/02/2024,14:41:00,Wednesday,26.29,499.49,5
INV-0091,B,Los Angeles,Normal,Female,Home Appliances,89.2,6,535.2,Credit Card,06/02/2024,16:59:00,Tuesday,26.76,508.44,4
INV-0092,B,Los Angeles,Member,Male,Beverages,29.71,9,267.39,Credit Card,23/02/2024,18:06:00,Friday,13.37,254.02,4
INV-0093,A,New York,Normal,Female,Snacks,75.81,6,454.86,Credit Card,22/03/2024,18:58:00,Friday,22.74,432.12,7
INV-0094,B,Los Angeles,Member,Female,Beverages,49.85,10,498.5,E-wallet,05/01/2024,13:37:00,Friday,24.93,473.57,2
INV-0095,A,New York,Member,Female,Snacks,50.4,5,252,Credit Card,06/02/2024,14:10:00,Tuesday,12.6,239.4,4
INV-0096,B,Los Angeles,Member,Male,Personal Care,52.47,5,262.35,Credit Card,11/01/2024,11:03:00,Thursday,13.12,249.23,1
INV-0097,A,New York,Member,Male,Personal Care,29.5,2,59,Credit Card,30/01/2024,13:38:00,Tuesday,2.95,56.05,2
INV-0098,B,Los Angeles,Normal,Female,Snacks,54.65,4,218.6,Credit Card,23/02/2024,14:13:00,Friday,10.93,207.67,7
INV-0099,A,New York,Member,Male,Electronics,12.25,8,98,Cash,19/01/2024,15:21:00,Friday,4.9,93.1,6
INV-0100,A,New York,Member,Male,Home Appliances,32.08,10,320.8,Credit Card,26/02/2024,19:35:00,Monday,16.04,304.76,2
INV-0101,A,New York,Normal,Female,Clothing,48.06,1,48.06,Credit Card,13/01/2024,16:55:00,Saturday,2.4,45.66,9
INV-0102,C,Chicago,Member,Female,Snacks,60.91,7,426.37,Credit Card,14/03/2024,08:22:00,Thursday,21.32,405.05,9
INV-0103,B,Los Angeles,Normal,Female,Personal Care,40.57,8,324.56,Cash,20/02/2024,11:16:00,Tuesday,16.23,308.33,10
INV-0104,C,Chicago,Normal,Female,Home Appliances,27.15,1,27.15,E-wallet,24/02/2024,09:21:00,Saturday,1.36,25.79,3
INV-0105,A,New York,Member,Female,Home Appliances,97.91,5,489.55,Cash,15/01/2024,08:56:00,Monday,24.48,465.07,4
INV-0106,B,Los Angeles,Normal,Male,Snacks,31.15,2,62.3,E-wallet,17/03/2024,12:19:00,Sunday,3.12,59.18,2
INV-0107,C,Chicago,Member,Female,Personal Care,61.62,7,431.34,Cash,20/03/2024,08:11:00,Wednesday,21.57,409.77,3
INV-0108,B,Los Angeles,Member,Male,Electronics,30.95,10,309.5,E-wallet,13/03/2024,21:01:00,Wednesday,15.48,294.02,6
INV-0109,B,Los Angeles,Member,Male,Clothing,61.84,1,61.84,Credit Card,30/01/2024,15:38:00,Tuesday,3.09,58.75,1
INV-0110,A,New York,Member,Female,Snacks,61.21,9,550.89,Credit Card,25/02/2024,18:31:00,Sunday,27.54,523.35,2
INV-0111,C,Chicago,Normal,Male,Electronics,27.19,7,190.33,Cash,23/01/2024,18:16:00,Tuesday,9.52,180.81,1
INV-0112,A,New York,Member,Female,Snacks,66.88,3,200.64,E-wallet,29/03/2024,11:43:00,Friday,10.03,190.61,5
INV-0113,A,New York,Normal,Female,Home Appliances,84.5,6,507,Cash,12/03/2024,19:33:00,Tuesday,25.35,481.65,3
INV-0114,A,New York,Member,Male,Snacks,50.03,7,350.21,E-wallet,20/03/2024,10:54:00,Wednesday,17.51,332.7,3
INV-0115,A,New York,Normal,Male,Clothing,75.69,6,454.14,Cash,06/02/2024,20:07:00,Tuesday,22.71,431.43,6
INV-0116,A,New York,Normal,Male,Personal Care,42.71,3,128.13,Credit Card,04/03/2024,14:21:00,Monday,6.41,121.72,9
INV-0117,A,New York,Normal,Male,Home Appliances,44.29,9,398.61,Cash,11/01/2024,21:32:00,Thursday,19.93,378.68,2
INV-0118,B,Los Angeles,Normal,Male,Electronics,78.66,6,471.96,E-wallet,07/02/2024,17:59:00,Wednesday,23.6,448.36,10
INV-0119,B,Los Angeles,Normal,Male,Personal Care,80.67,1,80.67,Cash,29/01/2024,14:02:00,Monday,4.03,76.64,6
INV-0120,C,Chicago,Member,Female,Home Appliances,11.52,7,80.64,E-wallet,09/01/2024,18:39:00,Tuesday,4.03,76.61,7
INV-0121,B,Los Angeles,Member,Male,Electronics,62.09,5,310.45,Cash,10/01/2024,11:32:00,Wednesday,15.52,294.93,9
INV-0122,A,New York,Member,Male,Clothing,32.72,5,163.6,E-wallet,27/01/2024,08:13:00,Saturday,8.18,155.42,3
INV-0123,C,Chicago,Member,Male,Home Appliances,95.65,3,286.95,E-wallet,26/01/2024,10:57:00,Friday,14.35,272.6,10
INV-0124,A,New York,Normal,Male,Personal Care,94.56,10,945.6,Cash,28/02/2024,11:43:00,Wednesday,47.28,898.32,4
INV-0125,A,New York,Member,Female,Clothing,59.86,4,239.44,Cash,12/02/2024,09:23:00,Monday,11.97,227.47,2
INV-0126,C,Chicago,Member,Female,Home Appliances,81.75,3,245.25,Credit Card,16/01/2024,20:42:00,Tuesday,12.26,232.99,10
INV-0127,A,New York,Member,Female,Personal Care,47.6,10,476,Credit Card,07/03/2024,20:37:00,Thursday,23.8,452.2,10
INV-0128,B,Los Angeles,Member,Male,Snacks,31.71,8,253.68,Cash,04/03/2024,18:09:00,Monday,12.68,241,7
INV-0129,A,New York,Normal,Male,Beverages,29.32,7,205.24,Credit Card,16/03/2024,11:58:00,Saturday,10.26,194.98,1
INV-0130,A,New York,Normal,Male,Electronics,66.31,9,596.79,E-wallet,27/01/2024,09:52:00,Saturday,29.84,566.95,9
INV-0131,B,Los Angeles,Normal,Female,Home Appliances,44.35,2,88.7,Credit Card,26/02/2024,14:42:00,Monday,4.44,84.26,5
INV-0132,A,New York,Member,Female,Electronics,28.08,9,252.72,E-wallet,11/01/2024,17:21:00,Thursday,12.64,240.08,7
INV-0133,B,Los Angeles,Normal,Male,Snacks,69.48,8,555.84,Credit Card,06/03/2024,10:50:00,Wednesday,27.79,528.05,1
INV-0134,B,Los Angeles,Normal,Male,Beverages,90.03,2,180.06,Credit Card,25/03/2024,09:50:00,Monday,9,171.06,4
INV-0135,C,Chicago,Member,Female,Electronics,97.41,7,681.87,Cash,08/01/2024,13:04:00,Monday,34.09,647.78,2
INV-0136,A,New York,Member,Female,Beverages,92.53,4,370.12,Credit Card,23/03/2024,12:59:00,Saturday,18.51,351.61,3
INV-0137,C,Chicago,Member,Female,Beverages,60.7,2,121.4,Cash,09/03/2024,18:08:00,Saturday,6.07,115.33,2
INV-0138,A,New York,Normal,Male,Snacks,26.12,6,156.72,Cash,18/02/2024,14:50:00,Sunday,7.84,148.88,6
INV-0139,A,New York,Member,Male,Personal Care,25.69,1,25.69,E-wallet,29/03/2024,12:25:00,Friday,1.28,24.41,5
INV-0140,A,New York,Member,Male,Beverages,65.9,7,461.3,E-wallet,13/01/2024,19:50:00,Saturday,23.07,438.23,3
INV-0141,C,Chicago,Normal,Male,Snacks,44.38,2,88.76,E-wallet,18/02/2024,13:30:00,Sunday,4.44,84.32,7
INV-0142,A,New York,Normal,Female,Beverages,40.9,3,122.7,Cash,24/01/2024,16:26:00,Wednesday,6.14,116.56,1
INV-0143,A,New York,Normal,Male,Home Appliances,63.8,6,382.8,Cash,10/03/2024,15:59:00,Sunday,19.14,363.66,6
INV-0144,A,New York,Normal,Male,Clothing,64.81,9,583.29,E-wallet,11/03/2024,12:58:00,Monday,29.16,554.13,2
INV-0145,B,Los Angeles,Member,Male,Personal Care,59.98,1,59.98,Credit Card,24/03/2024,10:10:00,Sunday,3,56.98,6
INV-0146,B,Los Angeles,Normal,Female,Beverages,37.68,4,150.72,Credit Card,08/02/2024,10:24:00,Thursday,7.54,143.18,5
INV-0147,C,Chicago,Normal,Female,Snacks,12.86,6,77.16,E-wallet,11/03/2024,20:12:00,Monday,3.86,73.3,2
INV-0148,B,Los Angeles,Member,Male,Personal Care,21.89,5,109.45,E-wallet,12/02/2024,13:49:00,Monday,5.47,103.98,9
INV-0149,A,New York,Member,Male,Electronics,70.03,2,140.06,E-wallet,20/02/2024,21:44:00,Tuesday,7,133.06,9
INV-0150,C,Chicago,Member,Male,Snacks,33.98,10,339.8,Cash,06/03/2024,12:40:00,Wednesday,16.99,322.81,8
INV-0151,B,Los Angeles,Member,Female,Electronics,38.89,4,155.56,E-wallet,06/03/2024,10:17:00,Wednesday,7.78,147.78,8
INV-0152,C,Chicago,Normal,Male,Personal Care,82.44,9,741.96,E-wallet,21/02/2024,14:41:00,Wednesday,37.1,704.86,5
INV-0153,B,Los Angeles,Normal,Female,Personal Care,63.41,10,634.1,Cash,14/02/2024,20:32:00,Wednesday,31.71,602.39,1
INV-0154,B,Los Angeles,Member,Female,Home Appliances,22.72,5,113.6,E-wallet,01/03/2024,09:07:00,Friday,5.68,107.92,6
INV-0155,C,Chicago,Member,Male,Beverages,46.04,1,46.04,E-wallet,09/03/2024,11:36:00,Saturday,2.3,43.74,10
INV-0156,B,Los Angeles,Normal,Female,Snacks,92.59,5,462.95,E-wallet,09/01/2024,12:25:00,Tuesday,23.15,439.8,8
INV-0157,B,Los Angeles,Normal,Female,Snacks,47.65,1,47.65,E-wallet,17/02/2024,16:42:00,Saturday,2.38,45.27,6
INV-0158,B,Los Angeles,Member,Male,Snacks,62.46,2,124.92,Cash,07/03/2024,11:16:00,Thursday,6.25,118.67,8
INV-0159,A,New York,Normal,Female,Clothing,46.65,1,46.65,Cash,07/02/2024,13:56:00,Wednesday,2.33,44.32,10
INV-0160,C,Chicago,Member,Male,Electronics,15.64,5,78.2,E-wallet,18/03/2024,17:13:00,Monday,3.91,74.29,9
INV-0161,A,New York,Member,Female,Clothing,34.74,9,312.66,E-wallet,23/02/2024,08:35:00,Friday,15.63,297.03,2
INV-0162,B,Los Angeles,Member,Female,Personal Care,73,6,438,Credit Card,23/01/2024,15:31:00,Tuesday,21.9,416.1,7
INV-0163,A,New York,Normal,Female,Home Appliances,29.45,9,265.05,Cash,05/01/2024,15:48:00,Friday,13.25,251.8,2
INV-0164,A,New York,Member,Female,Electronics,55.25,8,442,Credit Card,29/03/2024,14:57:00,Friday,22.1,419.9,4
INV-0165,B,Los Angeles,Member,Female,Beverages,70.27,7,491.89,Credit Card,01/02/2024,13:44:00,Thursday,24.59,467.3,1
INV-0166,B,Los Angeles,Member,Female,Snacks,37.72,8,301.76,Credit Card,25/02/2024,13:29:00,Sunday,15.09,286.67,8
INV-0167,A,New York,Member,Male,Home Appliances,12.3,5,61.5,Cash,16/01/2024,11:33:00,Tuesday,3.08,58.42,4
INV-0168,B,Los Angeles,Normal,Female,Beverages,92.31,5,461.55,E-wallet,24/01/2024,21:12:00,Wednesday,23.08,438.47,1
INV-0169,C,Chicago,Member,Male,Clothing,20.02,2,40.04,Cash,29/02/2024,12:38:00,Thursday,2,38.04,2
INV-0170,A,New York,Normal,Female,Snacks,88.18,1,88.18,Credit Card,01/01/2024,11:32:00,Monday,4.41,83.77,3
INV-0171,C,Chicago,Normal,Male,Beverages,67.6,10,676,Credit Card,08/02/2024,11:19:00,Thursday,33.8,642.2,10
INV-0172,C,Chicago,Normal,Male,Snacks,64.55,5,322.75,Cash,19/01/2024,18:47:00,Friday,16.14,306.61,8
INV-0173,A,New York,Member,Male,Personal Care,99.63,9,896.67,Credit Card,03/03/2024,19:12:00,Sunday,44.83,851.84,3
INV-0174,A,New York,Normal,Female,Clothing,9.14,5,45.7,Cash,13/03/2024,19:26:00,Wednesday,2.29,43.41,9
INV-0175,C,Chicago,Member,Female,Beverages,8.51,1,8.51,E-wallet,20/02/2024,19:02:00,Tuesday,0.43,8.08,7
INV-0176,A,New York,Normal,Female,Electronics,88.1,8,704.8,Credit Card,20/03/2024,09:57:00,Wednesday,35.24,669.56,7
INV-0177,A,New York,Normal,Male,Snacks,17.58,2,35.16,E-wallet,09/03/2024,17:48:00,Saturday,1.76,33.4,5
INV-0178,B,Los Angeles,Member,Female,Beverages,94.32,6,565.92,Credit Card,18/01/2024,16:08:00,Thursday,28.3,537.62,4
INV-0179,C,Chicago,Normal,Male,Snacks,70.36,5,351.8,E-wallet,24/02/2024,11:11:00,Saturday,17.59,334.21,4
INV-0180,B,Los Angeles,Normal,Female,Electronics,22.28,8,178.24,Cash,11/01/2024,13:26:00,Thursday,8.91,169.33,5
INV-0181,C,Chicago,Member,Female,Beverages,21.22,7,148.54,Credit Card,09/02/2024,11:22:00,Friday,7.43,141.11,1
INV-0182,C,Chicago,Normal,Male,Beverages,62.72,5,313.6,Credit Card,11/02/2024,12:23:00,Sunday,15.68,297.92,4
INV-0183,B,Los Angeles,Normal,Male,Clothing,88.34,7,618.38,Credit Card,06/02/2024,10:39:00,Tuesday,30.92,587.46,1
INV-0184,B,Los Angeles,Member,Male,Electronics,20.92,4,83.68,E-wallet,15/03/2024,11:12:00,Friday,4.18,79.5,1
INV-0185,B,Los Angeles,Normal,Male,Electronics,68.82,4,275.28,Credit Card,24/02/2024,10:24:00,Saturday,13.76,261.52,10
INV-0186,A,New York,Normal,Male,Personal Care,40.9,2,81.8,E-wallet,04/03/2024,08:03:00,Monday,4.09,77.71,8
INV-0187,B,Los Angeles,Member,Male,Electronics,86.06,4,344.24,Cash,20/01/2024,15:19:00,Saturday,17.21,327.03,4
INV-0188,C,Chicago,Member,Female,Beverages,47.13,7,329.91,Cash,17/01/2024,09:19:00,Wednesday,16.5,313.41,5
INV-0189,A,New York,Normal,Male,Clothing,65.11,6,390.66,E-wallet,07/02/2024,09:14:00,Wednesday,19.53,371.13,4
INV-0190,A,New York,Member,Male,Electronics,24.91,4,99.64,E-wallet,12/01/2024,15:50:00,Friday,4.98,94.66,1
INV-0191,A,New York,Normal,Female,Beverages,14.43,1,14.43,Credit Card,13/01/2024,11:44:00,Saturday,0.72,13.71,6
INV-0192,B,Los Angeles,Normal,Female,Personal Care,22.38,8,179.04,E-wallet,11/01/2024,17:14:00,Thursday,8.95,170.09,5
INV-0193,B,Los Angeles,Normal,Male,Beverages,68.83,3,206.49,Credit Card,02/02/2024,09:20:00,Friday,10.32,196.17,6
INV-0194,B,Los Angeles,Member,Female,Electronics,93.7,10,937,Cash,04/02/2024,09:39:00,Sunday,46.85,890.15,2
INV-0195,C,Chicago,Member,Female,Home Appliances,9,10,90,E-wallet,27/03/2024,19:48:00,Wednesday,4.5,85.5,4
INV-0196,C,Chicago,Normal,Female,Clothing,56.21,6,337.26,Cash,18/02/2024,15:17:00,Sunday,16.86,320.4,9
INV-0197,B,Los Angeles,Normal,Female,Home Appliances,81.92,3,245.76,Cash,26/03/2024,19:33:00,Tuesday,12.29,233.47,10
INV-0198,B,Los Angeles,Member,Female,Beverages,30.5,7,213.5,Cash,29/01/2024,18:00:00,Monday,10.68,202.82,7
INV-0199,C,Chicago,Member,Female,Electronics,36.12,10,361.2,Cash,05/03/2024,13:43:00,Tuesday,18.06,343.14,3
INV-0200,C,Chicago,Member,Female,Snacks,48.49,3,145.47,Credit Card,27/01/2024,19:21:00,Saturday,7.27,138.2,1
INV-0201,A,New York,Normal,Female,Home Appliances,9.7,9,87.3,E-wallet,10/01/2024,13:38:00,Wednesday,4.37,82.93,1
INV-0202,A,New York,Member,Male,Personal Care,96.92,5,484.6,E-wallet,14/03/2024,12:57:00,Thursday,24.23,460.37,1
